,0
0,9
1,7
2,7
3,1
4,0
5,5
6,9
7,6
8,0
9,1
10,7
11,0
12,1
13,4
14,7
15,6
16,7
17,9
18,2
19,6
20,9
21,6
22,2
23,5
24,4
25,7
26,5
27,1
28,1
29,4
30,0
31,5
32,2
33,7
34,9
35,9
36,3
37,5
38,5
39,3
40,7
41,0
42,6
43,5
44,7
45,0
46,6
47,7
48,0
49,6
50,1
51,7
52,7
53,4
54,3
55,4
56,9
57,3
58,7
59,5
60,7
61,1
62,0
63,9
64,4
65,4
66,2
67,9
68,5
69,7
70,3
71,1
72,1
73,8
74,6
75,3
76,4
77,0
78,7
79,6
80,2
81,2
82,2
83,9
84,0
85,2
86,8
87,2
88,2
89,5
90,4
91,9
92,5
93,9
94,6
95,1
96,2
97,7
98,1
99,0
100,7
101,2
102,6
103,1
104,5
105,3
106,7
107,3
108,9
109,4
110,5
111,5
112,5
113,2
114,1
115,1
116,3
117,7
118,3
119,3
120,5
121,9
122,9
123,0
124,1
125,0
126,8
127,1
128,4
129,1
130,0
131,0
132,5
133,9
134,6
135,1
136,3
137,4
138,7
139,0
140,0
141,1
142,1
143,7
144,3
145,2
146,1
147,9
148,3
149,4
150,8
151,0
152,0
153,2
154,5
155,7
156,8
157,6
158,6
159,4
160,1
161,3
162,7
163,4
164,2
165,3
166,1
167,7
168,8
169,4
170,9
171,3
172,0
173,6
174,0
175,0
176,5
177,3
178,8
179,0
180,8
181,8
182,6
183,8
184,9
185,7
186,7
187,0
188,9
189,7
190,1
191,5
192,7
193,6
194,0
195,7
196,0
197,1
198,2
199,1
200,9
201,7
202,8
203,1
204,2
205,9
206,2
207,2
208,6
209,0
210,6
211,0
212,0
213,7
214,0
215,9
216,5
217,0
218,5
219,4
220,6
221,7
222,7
223,5
224,3
225,5
226,4
227,6
228,3
229,5
230,2
231,8
232,9
233,3
234,9
235,2
236,5
237,8
238,3
239,3
240,6
241,2
242,1
243,5
244,9
245,5
246,9
247,0
248,2
249,0
250,9
251,2
252,2
253,1
254,7
255,8
256,4
257,9
258,7
259,3
260,3
261,3
262,0
263,8
264,0
265,1
266,8
267,5
268,9
269,6
270,6
271,3
272,7
273,6
274,0
275,3
276,0
277,5
278,3
279,0
280,0
281,2
282,9
283,9
284,5
285,2
286,2
287,3
288,9
289,0
290,3
291,1
292,8
293,2
294,6
295,8
296,0
297,8
298,0
299,6
300,6
301,7
302,3
303,1
304,2
305,9
306,4
307,5
308,4
309,2
310,0
311,2
312,0
313,5
314,1
315,2
316,0
317,1
318,2
319,1
320,7
321,7
322,8
323,7
324,1
325,2
326,0
327,4
328,2
329,5
330,8
331,7
332,4
333,6
334,8
335,9
336,1
337,0
338,2
339,2
340,7
341,1
342,9
343,5
344,7
345,6
346,2
347,5
348,2
349,3
350,7
351,8
352,2
353,5
354,0
355,0
356,9
357,5
358,2
359,6
360,1
361,9
362,2
363,5
364,5
365,8
366,8
367,4
368,0
369,5
370,5
371,2
372,2
373,1
374,3
375,2
376,5
377,4
378,8
379,6
380,2
381,7
382,4
383,7
384,7
385,9
386,6
387,7
388,1
389,3
390,1
391,5
392,1
393,1
394,5
395,8
396,6
397,0
398,3
399,7
400,3
401,4
402,6
403,0
404,9
405,1
406,9
407,8
408,2
409,9
410,1
411,3
412,9
413,7
414,5
415,2
416,6
417,2
418,8
419,4
420,8
421,2
422,8
423,9
424,7
425,4
426,0
427,6
428,6
429,6
430,6
431,7
432,6
433,9
434,5
435,8
436,7
437,6
438,6
439,0
440,6
441,4
442,6
443,0
444,6
445,8
446,4
447,9
448,1
449,7
450,0
451,3
452,7
453,0
454,5
455,2
456,0
457,4
458,5
459,3
460,6
461,4
462,9
463,8
464,7
465,9
466,8
467,3
468,0
469,4
470,3
471,5
472,1
473,1
474,6
475,8
476,1
477,4
478,4
479,9
480,0
481,9
482,4
483,9
484,6
485,5
486,1
487,7
488,3
489,8
490,0
491,1
492,1
493,3
494,8
495,6
496,4
497,9
498,7
499,1
500,9
501,2
502,7
503,4
504,6
505,6
506,4
507,6
508,6
509,4
510,6
511,5
512,0
513,1
514,8
515,2
516,6
517,9
518,2
519,5
520,5
521,4
522,6
523,7
524,2
525,1
526,1
527,4
528,3
529,6
530,9
531,8
532,1
533,4
534,6
535,7
536,4
537,1
538,6
539,8
540,1
541,0
542,9
543,6
544,0
545,2
546,9
547,5
548,4
549,7
550,3
551,1
552,8
553,8
554,9
555,2
556,5
557,2
558,6
559,3
560,2
561,6
562,0
563,3
564,1
565,5
566,6
567,3
568,4
569,6
570,6
571,5
572,7
573,1
574,9
575,5
576,9
577,5
578,8
579,9
580,8
581,9
582,3
583,1
584,4
585,5
586,9
587,1
588,2
589,7
590,6
591,2
592,7
593,9
594,6
595,3
596,7
597,1
598,5
599,3
600,6
601,9
602,4
603,3
604,0
605,1
606,3
607,5
608,9
609,5
610,6
611,5
612,6
613,9
614,3
615,6
616,4
617,3
618,3
619,7
620,7
621,1
622,4
623,9
624,6
625,2
626,1
627,8
628,8
629,2
630,6
631,1
632,1
633,7
634,0
635,5
636,2
637,1
638,7
639,2
640,3
641,6
642,1
643,7
644,8
645,3
646,2
647,2
648,8
649,6
650,2
651,5
652,6
653,2
654,5
655,1
656,1
657,9
658,0
659,9
660,5
661,0
662,9
663,9
664,1
665,2
666,9
667,9
668,3
669,8
670,4
671,8
672,6
673,6
674,8
675,8
676,2
677,9
678,1
679,7
680,0
681,7
682,6
683,2
684,6
685,8
686,0
687,2
688,1
689,1
690,0
691,3
692,4
693,5
694,4
695,6
696,0
697,8
