pathway	freq	mean_padj
cellular response to oxidative stress (GO:0034599)	1.0	0.017356364684997457
glucan biosynthetic process (GO:0009250)	1.0	0.017356364684997457
glutathione metabolic process (GO:0006749)	1.0	0.07806707841531421
glycogen biosynthetic process (GO:0005978)	1.0	0.017356364684997457
glycogen metabolic process (GO:0005977)	1.0	0.07806707841531421
hexose catabolic process (GO:0019320)	1.0	0.07806707841531421
inorganic cation transmembrane transport (GO:0098662)	1.0	0.07806707841531421
negative regulation of nitrogen compound metabolic process (GO:0051172)	1.0	0.07554293910504549
pentose catabolic process (GO:0019323)	1.0	0.07806707841531421
response to metal ion (GO:0010038)	1.0	0.06936237605939093
