pathway	freq	padj	stability	overlap
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.06512078395707432	0.5	0.5
KEGG_ERBB_SIGNALING_PATHWAY	1	0.06512078395707432	0.5	0.4166666666666667
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.06512078395707432	0.5	0.5714285714285714
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.06512078395707432	0.5	0.5
KEGG_GLIOMA	1	0.06512078395707432	0.5	0.4166666666666667
KEGG_GNRH_SIGNALING_PATHWAY	1	0.06512078395707432	0.5	0.42857142857142855
KEGG_VEGF_SIGNALING_PATHWAY	1	0.06512078395707432	0.5	0.5
KEGG_ALZHEIMERS_DISEASE	1	0.07851238759394968	0.5	0.46153846153846156
KEGG_GAP_JUNCTION	1	0.09199728154242366	0.5	0.35714285714285715
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.09199728154242366	0.5	0.4444444444444444
KEGG_BETA_ALANINE_METABOLISM	1	0.09268271771233115	0.5	1.0
