"","sled_ranks"
"SAMD11",0
"SKI",0
"SLC45A1",0
"RERE",0
"CA6",0
"CASZ1",0
"MTOR",0
"MTHFR",0
"SPEN",0
"EPHB2",0
"AHDC1",0
"TMEM39B",0
"DLGAP3",0
"AGO4",0.000847239111412389
"AGO1",0
"AGO3",0.000735125918509116
"GRIK3",6.77698460238963e-06
"MTF1",0
"RIMS3",0
"HIVEP3",0
"POMGNT1",0
"AGBL4",0
"SCP2",0
"CPT2",0
"GLIS1",0
"NFIA",0
"ALG6",0
"SRSF11",0.0154829406369514
"NEGR1",0
"PTBP2",0.0105320447066364
"DPYD",0.00641204929861634
"NTNG1",0
"ADORA3",0
"KCND3",0
"TRIM33",0.0130037357355972
"AMPD1",0
"CSDE1",0
"SLC22A15",0
"ATP1A1",0.00167950373749254
"NOTCH2NL",0
"APH1A",0
"SETDB1",0
"POGZ",0
"ILF2",0
"ASH1L",0.0557672462101392
"IQGAP3",0
"NTRK1",0
"PYHIN1",0
"FCRL6",0
"KCNJ10",0
"PBX1",0
"CACNA1E",0
"PTGS2",0
"BRINP3",0
"ASPM",0
"PTPRC",0
"KIF14",0
"KDM5B",0
"ZC3H11A",7.38595893808794e-09
"AVPR1B",0
"RASSF5",0
"HSD11B1",0
"USH2A",0
"MARK1",0.00205248796731095
"WDR26",1.18673154098436e-08
"NUP133",0
"GALNT2",3.19767087956984e-10
"DISC1",0
"CHRM3",0.000140478856592397
"RGS7",0
"HNRNPU",0
"TFB2M",0
"OR1C1",0
"OR2M4",0
"OR2T10",0
"SNTG2",0
"TPO",0
"PXDN",0
"MYT1L",0
"CMPK2",0
"ASAP2",0.00194777802353741
"KCNS3",0
"NCOA1",0
"ADCY3",0
"DNMT3A",1.16856781159376e-05
"GALNT14",0
"MEMO1",0
"SPAST",1.98069691798986e-09
"BIRC6",1.60074647974059e-05
"FBXO11",0
"NRXN1",0.0006272191409839
"BCL11A",0.000411320826104355
"PAPOLG",0
"XPO1",0
"CCT4",0
"OTX1",0
"EXOC6B",0
"RAB11FIP5",0
"TET3",1.36840232844003e-09
"CTNNA2",0.00660907096046847
"NPAS2",0
"IL1R2",0
"SH3RF3",0
"DPP10",0
"CLASP1",0
"CNTNAP5",0
"NCKAP5",0
"MCM6",0
"MBD5",0
"EPC2",0.000303406845461404
"KIF5C",6.03306792455949e-12
"GALNT13",0.0067145314978719
"NR4A2",0
"GPD2",0
"ERMN",0
"BAZ2B",1.22312145679214e-07
"TBR1",0
"SLC4A10",0
"DPP4",0
"SCN2A",0.0036350863645175
"SCN1A",0
"SCN9A",0
"STK39",0
"LRP2",0
"SLC25A12",0
"DLX2",0
"RAPGEF4",0.0236927993527321
"TTN",0
"ZNF385B",0
"NCKAP1",0
"ZNF804A",0
"INPP1",0
"HECW2",0.000124429529666311
"SF3B1",2.23276654907504e-09
"SATB2",0
"PARD3B",0
"NRP2",0
"UNC80",0
"VIL1",0
"PLCD4",0
"RNF25",0
"CYP27A1",0
"CUL3",0
"TM4SF20",0
