pathway	freq	mean_padj	mean_NES
GOBP_CELL_CELL_ADHESION	1.0	0.007323921861931112	2.9921498378141655
GOBP_DIGESTION	1.0	0.013427190080207037	2.8778299888846557
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	1.0	0.028075033804069262	2.743784545693746
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	1.0	0.022887255818534725	2.732492131248631
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	1.0	0.023924811415641633	2.703043052810963
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.0	0.026244053338586485	2.668567458770734
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1.0	0.03784026295331074	2.608101535208315
GOBP_CARBOHYDRATE_PHOSPHORYLATION	1.0	0.03417830202234519	2.604744169645274
GOBP_PIRNA_METABOLIC_PROCESS	1.0	0.032822020196061646	2.5955525096876553
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1.0	0.03869472050386937	2.5621208871739496
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	1.0	0.03817316849248943	2.550695656781384
GOBP_SECRETION	1.0	0.03763682067936821	2.5432068730672257
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1.0	0.04159612031840362	2.520800097195139
GOBP_REGULATION_OF_SECRETION	1.0	0.03949686432684278	2.5182277803680173
GOBP_DIGESTIVE_SYSTEM_PROCESS	1.0	0.043780777352432645	2.498793783464363
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	1.0	0.048292109777108266	2.4718187110729044
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	1.0	0.054642201342446815	2.450386575773004
GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.0	0.06455901493109646	2.4243695241119174
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.06585105182876656	2.4128493343157733
GOBP_DEFENSE_RESPONSE	1.0	0.06951622500616281	2.3967399860453478
GOBP_CELL_CELL_SIGNALING	1.0	0.07393673498711409	2.3827429160014533
GOBP_REGULATION_OF_MOTOR_NEURON_APOPTOTIC_PROCESS	1.0	0.07634633698497886	2.3732582904594937
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1.0	0.07493751934091833	2.369348307011479
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	1.0	0.08595436074071929	2.347870238391009
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1.0	0.08822884536339679	2.3396185241418674
GOBP_EPITHELIUM_DEVELOPMENT	1.0	0.08483542823403538	2.3396007571841273
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1.0	0.08219067867278249	2.338997577022316
GOBP_RESPONSE_TO_BACTERIUM	1.0	0.08252490526568806	2.3333612374036576
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION	1.0	0.08098405553077849	2.3309012234465225
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	1.0	0.07881353692533646	2.330055677315394
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	1.0	0.09367532316953824	2.3025306310744393
GOBP_INNATE_IMMUNE_RESPONSE	1.0	0.09360887629780702	2.2981702419752326
GOBP_POSITIVE_REGULATION_OF_TRANSPORT	1.0	0.09117912823060702	2.2971475591652704
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	1.0	0.09176443274066627	2.2926741954348038
GOBP_MONONUCLEAR_CELL_MIGRATION	1.0	0.09573412148095667	2.282578544244601
GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	1.0	0.09365126010487838	2.2813886963697723
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.0	0.09824612299473355	2.2708180172219814
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1.0	0.09630314799153276	2.2700636689877514
GOBP_ADAPTIVE_IMMUNE_RESPONSE	1.0	0.1069167396596439	2.2524196885288164
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	1.0	0.10473208262561491	2.2511785506413013
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	1.0	0.10771524104254782	2.2433369399744807
GOBP_CELL_CELL_JUNCTION_MAINTENANCE	1.0	0.11241638794424422	2.2335503505591032
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	1.0	0.11289626839108538	2.2290625079981847
GOBP_LEUKOCYTE_PROLIFERATION	1.0	0.11598983827550749	2.2220460678691865
GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	1.0	0.11864753416328401	2.215097452443497
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	1.0	0.12004863225860996	2.210355449182153
GOBP_KERATINIZATION	1.0	0.12061096853478043	2.2073510685242987
GOBP_FERTILIZATION	1.0	0.11921717253032307	2.2058748520366622
GOBP_GLAND_DEVELOPMENT	1.0	0.11790517745755084	2.2047094726482803
GOBP_THYMUS_DEVELOPMENT	1.0	0.11579120463713087	2.204353140522856
GOBP_RESPONSE_TO_HORMONE	1.0	0.11713488102055836	2.1996632663435025
GOBP_INTERFERON_ALPHA_PRODUCTION	1.0	0.13309819537547884	2.178853166186039
GOBP_MUCOSA_ASSOCIATED_LYMPHOID_TISSUE_DEVELOPMENT	1.0	0.13314337196170992	2.1760441530536188
GOBP_LIPID_LOCALIZATION	1.0	0.13334510822077664	2.1728485956028
GOBP_ADAPTIVE_THERMOGENESIS	1.0	0.13673540179199267	2.1666651913624064
GOBP_ODONTOGENESIS	1.0	0.13579771785663936	2.1651484410312913
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	1.0	0.13928300523391798	2.1586581100696494
GOBP_L_SERINE_METABOLIC_PROCESS	1.0	0.14243765276307402	2.1521328674697946
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS	1.0	0.1424647625459255	2.149427085253201
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT	1.0	0.14153478998181873	2.14782581487997
GOBP_TRIGLYCERIDE_CATABOLIC_PROCESS	1.0	0.14047522259769507	2.146524175547512
GOBP_CYTOPLASM_ORGANIZATION	1.0	0.13958765054056876	2.1447200934716304
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1.0	0.13992953356313884	2.1417005078972853
GOBP_CHEMOKINE_PRODUCTION	1.0	0.14243502204401443	2.1366474641899313
GOBP_CYTOKINE_PRODUCTION	1.0	0.14108878191971394	2.135527342745947
GOBP_POSITIVE_REGULATION_OF_SECRETION	1.0	0.14109646435523346	2.132830283934882
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION	1.0	0.14210594657478276	2.128911653815914
GOBP_LIPID_CATABOLIC_PROCESS	1.0	0.1403751690203463	2.1284166056401377
GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	1.0	0.1398621406773608	2.126728733848615
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	1.0	0.1431477965823631	2.1213828614140415
GOBP_SYNAPSE_ORGANIZATION	1.0	0.1411488227381559	2.1213604845312597
GOBP_REGULATION_OF_T_CELL_PROLIFERATION	1.0	0.1396122604930618	2.120888112535303
GOBP_L_SERINE_TRANSPORT	1.0	0.1439368022545731	2.1147290968769674
