pathway	freq	mean_padj
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.16666666666666666	0.0293716438202331
KEGG_ERBB_SIGNALING_PATHWAY	0.19047619047619047	0.005289287621882505
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.16666666666666666	0.02585216862124864
KEGG_INSULIN_SIGNALING_PATHWAY	0.19047619047619047	0.013163548390891188
KEGG_MAPK_SIGNALING_PATHWAY	0.19047619047619047	0.028120990413417615
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.19047619047619047	0.012048576842249761
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.16666666666666666	0.03794046433333152
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.16666666666666666	0.043427025789683625
KEGG_PROSTATE_CANCER	0.19047619047619047	0.027745479579317313
KEGG_RENAL_CELL_CARCINOMA	0.16666666666666666	0.018942285582897237
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.16666666666666666	0.039320408752499106
KEGG_RNA_DEGRADATION	0.19047619047619047	0.0028864794277115445
KEGG_SPLICEOSOME	0.19047619047619047	2.7278591615780664e-07
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.19047619047619047	0.03643096601226258
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.21428571428571427	0.008333556907874946
KEGG_WNT_SIGNALING_PATHWAY	0.23809523809523808	0.03212940060865809
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.07142857142857142	0.0551763679196875
KEGG_APOPTOSIS	0.09523809523809523	0.049400313697299206
KEGG_GAP_JUNCTION	0.023809523809523808	0.01632133392523176
KEGG_GLIOMA	0.09523809523809523	0.04486396515578041
KEGG_LONG_TERM_DEPRESSION	0.023809523809523808	0.06207185184570644
KEGG_MELANOGENESIS	0.023809523809523808	0.07713948077043413
KEGG_MELANOMA	0.09523809523809523	0.012818730825008043
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.09523809523809523	0.04383927983087918
KEGG_OTHER_GLYCAN_DEGRADATION	0.16666666666666666	0.03564687713446949
KEGG_PATHWAYS_IN_CANCER	0.16666666666666666	0.015954441544414714
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.023809523809523808	0.05411216794151032
KEGG_LYSINE_DEGRADATION	0.16666666666666666	0.03503447365410819
KEGG_ACUTE_MYELOID_LEUKEMIA	0.11904761904761904	0.01350255078756637
KEGG_CELL_CYCLE	0.14285714285714285	0.06206521364749678
KEGG_COLORECTAL_CANCER	0.11904761904761904	0.005251318486680898
KEGG_ENDOCYTOSIS	0.11904761904761904	0.024452003135253107
KEGG_ENDOMETRIAL_CANCER	0.11904761904761904	0.02333579412301252
KEGG_MISMATCH_REPAIR	0.14285714285714285	0.026989727167049258
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.11904761904761904	0.05963213879082411
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.09523809523809523	0.05648382187130735
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.023809523809523808	0.05292783019248885
KEGG_HUNTINGTONS_DISEASE	0.2857142857142857	0.03961330638329604
KEGG_PANCREATIC_CANCER	0.09523809523809523	0.03165392635298462
KEGG_PARKINSONS_DISEASE	0.5714285714285714	0.002427106570758557
