pathway	freq	padj	stability	overlap
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	10	3.019022132334655e-07	0.7692307692307693	0.9814877910278252
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	10	2.798017090525712e-06	0.7692307692307693	0.9796534376746788
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	10	3.2329827768021554e-06	0.7692307692307693	0.981444866920152
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	10	4.2617494128853556e-06	0.7692307692307693	0.983418553688824
GOBP_TISSUE_DEVELOPMENT	10	5.422430458892248e-06	0.7692307692307693	0.9855115316380841
GOBP_REGULATION_OF_TRANSPORT	10	1.202347511283088e-05	0.7692307692307693	0.9771537970644545
GOBP_REPRODUCTION	8	1.896936415572136e-05	0.6153846153846154	0.9792335473515249
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	10	2.4462182170622524e-05	0.7692307692307693	0.9839962997224792
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	10	2.7414444462018648e-05	0.7692307692307693	0.9785180149558125
GOBP_TRANSMEMBRANE_TRANSPORT	10	5.1897718973885074e-05	0.7692307692307693	0.9779389312977098
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	10	5.87043927925163e-05	0.7692307692307693	0.980133555926544
GOBP_CELL_JUNCTION_ASSEMBLY	8	6.595088978811215e-05	0.6153846153846154	0.9962121212121211
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	10	8.141495646151893e-05	0.7692307692307693	0.984648370497427
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	10	8.403518934019813e-05	0.7692307692307693	0.9801707779886147
GOBP_EPITHELIUM_DEVELOPMENT	10	0.00010249696231163746	0.7692307692307693	0.986078431372549
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	10	0.0001150530011219827	0.7692307692307693	0.9794277929155314
GOBP_TUBE_MORPHOGENESIS	8	0.00013302712815830021	0.6153846153846154	0.9830586080586081
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	10	0.00014797206208259838	0.7692307692307693	0.9790055248618785
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	8	0.00021923241701933335	0.6153846153846154	0.981178608515057
GOBP_MITOTIC_CELL_CYCLE_PROCESS	4	0.00024776343578748386	0.3076923076923077	0.9837662337662337
GOBP_VASCULATURE_DEVELOPMENT	8	0.0002694544739048019	0.6153846153846154	0.9832142857142858
GOBP_LIPID_BIOSYNTHETIC_PROCESS	8	0.00027191857231636786	0.6153846153846154	0.984472049689441
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	8	0.0003449472092605176	0.6153846153846154	0.993782722513089
